;代码	x	y	名称	        范围	数量	时间

;比奇
0	600	576	弓箭守卫	0	1	10
0	665	87	弓箭守卫	0	1	10
0	666	86	弓箭守卫	0	1	10
0	671	94	弓箭守卫	0	1	10
0	672	93	弓箭守卫	0	1	10
0	340	513	弓箭守卫	0	1	10
0	341	514	弓箭守卫	0	1	10
0	367	487	弓箭守卫	0	1	10
0	368	488	弓箭守卫	0	1	10
0	318	244	弓箭守卫	0	1	10
0	300	207	弓箭守卫	0	1	10
0	310	227	弓箭守卫	0	1	10
0	313	230	弓箭守卫	0	1	10
0	309	286	弓箭守卫	0	1	10
0	329	289	弓箭守卫	0	1	10
0	355	280	弓箭守卫	0	1	10
0	362	301	弓箭守卫	0	1	10
0	374	291	弓箭守卫	0	1	10
0	321	257	弓箭守卫	0	1	10
0	301	319	弓箭守卫	0	1	10
0	335	309	弓箭守卫	0	1	10
0	339	313	弓箭守卫	0	1	10
0	320	36	弓箭守卫	0	1	10
0	327	42	弓箭守卫	0	1	10

;沃玛森林
1	52	33	弓箭守卫	0	1	10
1	52	33	弓箭守卫	0	1	10
1	46	39	弓箭守卫	0	1	10
1	51	165	弓箭守卫	0	1	10
1	52	171	弓箭守卫	0	1	10
1	566	544	弓箭守卫	0	1	10
1	555	544	弓箭守卫	0	1	10

;毒蛇山谷
2	417	558	弓箭守卫	0	1	10
2	416	559	弓箭守卫	0	1	10
2	423	566	弓箭守卫	0	1	10
2	424	565	弓箭守卫	0	1	10

2	292	60	弓箭守卫	0	1	10
2	298	65	弓箭守卫	0	1	10

2	552	80	弓箭守卫	0	1	10
2	560	88	弓箭守卫	0	1	10

;盟重
3	325	311	弓箭守卫	0	1	10
3	348	332	弓箭守卫	0	1	10
3	296	334	弓箭守卫	0	1	10
3	302	340	弓箭守卫	0	1	10
3	305	290	弓箭守卫	0	1	10
3	288	305	弓箭守卫	0	1	10
3	302	370	弓箭守卫	0	1	10
3	336	321	弓箭守卫	0	1	10
3	339	313	弓箭守卫	0	1	10
2	510	479	弓箭守卫	0	1	10
2	508	492	弓箭守卫	0	1	10
3	273	743	弓箭守卫	0	1	10
3	272	744	弓箭守卫	0	1	10
3	512	770	弓箭守卫	0	1	10
3	519	777	弓箭守卫	0	1	10

;封魔谷
4	443	184	恶魔弓箭手	0	1	1
4	443	192	恶魔弓箭手	0	1	1

4	256	231	恶魔弓箭手	0	1	1
4	251	236	恶魔弓箭手	0	1	1
4	255	230	恶魔弓箭手	0	1	1
4	250	235	恶魔弓箭手	0	1	1
4	254	229	恶魔弓箭手	0	1	1
4	249	234	恶魔弓箭手	0	1	1
4	253	228	恶魔弓箭手	0	1	1
4	248	233	恶魔弓箭手	0	1	1
4	252	227	恶魔弓箭手	0	1	1
4	247	232	恶魔弓箭手	0	1	1

4	257	186	恶魔弓箭手	0	1	1
4	253	183	恶魔弓箭手	0	1	1
4	256	187	恶魔弓箭手	0	1	1
4	252	184	恶魔弓箭手	0	1	1
4	255	188	恶魔弓箭手	0	1	1
4	251	185	恶魔弓箭手	0	1	1
4	254	189	恶魔弓箭手	0	1	1
4	250	186	恶魔弓箭手	0	1	1
4	253	190	恶魔弓箭手	0	1	1
4	249	187	恶魔弓箭手	0	1	1
4	215	193	恶魔弓箭手	0	1	1
4	219	189	恶魔弓箭手	0	1	1
;封魔皇宫门口
4	223	195	恶魔弓箭手	0	1	1
4	224	194	恶魔弓箭手	0	1	1
4	225	193	恶魔弓箭手	0	1	1
4	226	192	恶魔弓箭手	0	1	1
4	216	202	恶魔弓箭手	0	1	1
4	215	203	恶魔弓箭手	0	1	1
4	214	204	恶魔弓箭手	0	1	1
4	213	205	恶魔弓箭手	0	1	1


;白日门
11	43	480	弓箭守卫	0	1	10
11	49	474	弓箭守卫	0	1	10

;毒蛇矿区-死亡山谷
d422	332	380	弓箭守卫	0	1	10
d422	328	384	弓箭守卫	0	1	10

E605	10	61	弓箭守卫	0	1	10
E605	15	68	弓箭守卫	0	1	10

D601	13	196	弓箭守卫	0	1	10
D601	7	201	弓箭守卫	0	1	10

E601	139	13	弓箭守卫	0	1	10
E601	138	12	弓箭守卫	0	1	10

;比奇城
0       350     200     鸡              25      5       5
0       280     260     鸡              25      5       5
0       405     240     鸡              25      5       5
0       340     310     鸡              25      5       5
0       600     580     鹿              40      10      7
0       663     661     鸡              20      10      5
0       295     625     鸡              50      10      5
0       645     625     鸡              40      10      5

;比奇省北部
0	110	60	稻草人	        70	40	9
0	110	80	多钩猫   	60	40	9
0	220	60	稻草人   	60	40	9
0	150	130	多钩猫	        50	40	9
0	140	100	钉耙猫  	50	50	9
0	90	240	半兽人  	60	50	6
0	65	185	毒蜘蛛  	30	30	9
0	120	200	食人花  	60	40	9	
0	210	185	鹿      	45	50	5
0	265	125	鹿      	45	50	5
0	310	95	鹿      	45	50	5
0	225	20	蛤蟆    	20	15	8
0	280	380	蛤蟆    	20	15	8
0	340	80	蛤蟆    	20	15	8
0	60	300	毒蜘蛛	        60	40	9

;比奇省东部
0	420	95	半兽人  	50	50	9
0	570	120	毒蜘蛛   	80	30	9
0	615	110	毒蜘蛛	        50	20	9
0	560	200	半兽人	        90	80	7
0	620	370	毒蜘蛛   	60	40	9
;
0	420	380	鹿	        45	40	5
0	470	330	鹿	        45	40	5
0	395	420	蛤蟆	        40	40	8
0	475	500	食人花   	90	70	9
0	405	515	蛤蟆	        30	30	8
0	500	400	稻草人	        50	40	9
0	510	410	多钩猫   	50	40	9
0	510	410	钉耙猫	        50	40	9
0	560	320	半兽人   	90	60	7
0	480	450	半兽人	        60	50	7
0	600	400	森林雪人	70	30	7
0	600	400	半兽人  	80	60	9
0	610	405	食人花   	60	80	9
0	650	420	毒蜘蛛	        30	30	9

0	600	580	鹿	        40	30	7
0	663	661	鸡	        20	20	5
0	663	661	稻草人	        20	40	5
0	540	530	稻草人	        70	70	5
0	550	550	鹿	        70	70	4
0	570	610	鹿	        50	60	5
0	640	520	多钩猫	        50	40	5
0	640	520	钉耙猫	        50	40	5
0	640	530	稻草人	        50	40	5

0	205	325	鹿	        50	40	5
0	260	380	鹿	        50	40	5
0	300	410	蛤蟆	        50	30	6
0	200	400	稻草人   	50	30	6
0	180	420	多钩猫	        50	30	6
0	180	420	钉耙猫	        50	30	6
0	110	425	森林雪人	70	40	7
0	110	440	半兽人	        70	50	7
0	220	470	半兽人	        70	50	7
0	140	500	半兽人	        50	30	7
0	130	510	食人花	        70	40	9
0	165	550	森林雪人	60	40	7
0	340	550	钉耙猫	        50	50	6
0	340	550	多钩猫	        50	50	6
0	340	550	鹿	        50	40	4
0	247	565	鹿	        50	50	4
0	330	530	稻草人	        40	60	6
0	270	625	鹿	        60	70	4
0	270	625	稻草人   	60	60	5

0       295     625     鸡              50      10      5
0       645     625     鸡              40      10      5

;研究院
0111	8	17	练功师   	0	1	10



;沃玛森林
1	145	60	森林雪人	80	35	7
1	145	60	森林雪人	80	35	7
1	302	164	半兽人	        150	200	6
1	302	164	半兽战士	150	40	6
1	302	164	半兽勇士	150	2	60
1	302	164	森林雪人	150	90	6
1	352	382	半兽人   	100	30	6
1	352	382	半兽战士	100	10	6
1	352	382	半兽勇士	100	4	60
1	250	230	森林雪人	230	300	5
1	250	230	半兽人   	230	200	6
1	250	230	半兽战士	230	50	6
1	250	230	半兽勇士	230	1	60
1	219	381	半兽人  	100	50	6
1	219	381	半兽战士	100	10	6
1	219	381	半兽勇士	100	4	60
1	219	381	森林雪人	100	90	5
1	238	511	毒蜘蛛	        80	50	6
1	497	465	钉耙猫  	50	40	9
1	497	445	多钩猫	        50	40	9
1	250	250	食人花	        250	100	9
;特殊
1	250	250	森林雪人0	250	5	10
1	250	250	半兽人0 	250	5	10
1	250	250	半兽战士0	250	5	10
1	250	250	钉耙猫0	        250	5	10
1	250	250	多钩猫0   	250	5	10

;封魔谷
4	322	334	半兽战士	90	40	5
4	322	334	半兽勇士9	90	20	7
4	322	334	半兽勇士1	90	10	7
4	322	334	骷髅	        90	20	5
4	322	334	骷髅战士	90	20	5
4	322	334	骷髅战将	90	20	5
4	322	334	掷斧骷髅	90	20	5

4	348	190	半兽战士	90	40	5
4	348	190	半兽勇士9	90	20	7
4	348	190	半兽勇士1	90	10	7
4	348	190	骷髅	        90	20	5
4	348	190	骷髅战士	90	20	5
4	348	190	骷髅战将	90	20	5
4	348	190	掷斧骷髅	90	20	5

4	107	138	半兽战士	90	40	5
4	107	138	半兽勇士9	90	20	7
4	107	138	半兽勇士1	90	10	7
4	107	138	骷髅	        90	20	5
4	107	138	骷髅战士	90	20	5
4	107	138	骷髅战将	90	20	5
4	107	138	掷斧骷髅	90	20	5

4	126	311	半兽战士	90	40	5
4	126	311	半兽勇士9	90	20	7
4	126	311	半兽勇士1	90	10	7
4	126	311	骷髅	        90	20	5
4	126	311	骷髅战士	90	20	5
4	126	311	骷髅战将	90	20	5
4	126	311	掷斧骷髅	90	20	5

4	199	99	骷髅	        50	20	6
4	199	99	骷髅战士	50	20	6
4	199	99	骷髅战将	50	20	6
4	199	99	掷斧骷髅	50	20	6

4	274	259	骷髅	        15	4	6
4	274	259	骷髅战士	15	4	6
4	274	259	骷髅战将	15	4	6
4	274	259	掷斧骷髅	15	4	6
4	274	259	僵尸2	        15	4	6

4	170	267	骷髅	        15	4	6
4	170	267	骷髅战士	15	4	6
4	170	267	骷髅战将	15	4	6
4	170	267	掷斧骷髅	15	4	6
4	170	267	僵尸2	        15	4	6

4	289	154	骷髅	        15	4	6
4	289	154	骷髅战士	15	4	6
4	289	154	骷髅战将	15	4	6
4	289	154	掷斧骷髅	15	4	6
4	289	154	僵尸2	        15	4	6

4	443	192	半兽勇士9	20	5	7
4	443	192	半兽战士	20	10	7
4	443	192	骷髅战士	20	5	7
4	443	192	骷髅	        20	5	7
4	443	192	掷斧骷髅	20	5	7

4	73	85	半兽勇士9	20	10	7
4	73	85	半兽勇士1	20	5	7
4	73	85	骷髅战将	20	5	7
4	73	85	僵尸1	        20	5	7
4	73	85	僵尸2	        20	5	7

;特殊
4	322	334	半兽战士0	80	4	15
4	348	190	半兽勇士	80	2	25
4	107	138	僵尸20	        80	4	15
4	126	311	骷髅战士0	80	4	15
4	322	334	骷髅战将0	65	4	15
4	348	190	掷斧骷髅0	65	4	15
4	107	138	骷髅0	        65	4	15
4	443	192	骷髅战士0	20	2	15
4	73	85	僵尸10   	20	2	15
4	107	138	骷髅精灵	80	2	60
4	322	334	半兽统领	80	2	60
4	123	404	千年树妖	0	1	360

;封魔皇宫
B341	21	25	沃玛卫士	20	1	60


;白日门
11	108	422	森林雪人	50	30	7
11	108	422	半兽人	        50	10	7
11	108	422	半兽战士	50	30	7
11	108	422	半兽勇士9	50	10	10
11	108	422	半兽统领	50	4	60
11	147	211	森林雪人	80	20	7
11	147	211	半兽战士	80	30	7
11	147	211	半兽勇士9	80	10	10
11	147	211	半兽统领	80	4	60
11	321	266	森林雪人	80	30	7
11	321	266	半兽战士	80	40	6
11	321	266	半兽勇士9	80	20	10
11	321	266	半兽统领	80	6	60
11	348	132	半兽人   	100	10	6
11	348	132	半兽战士	80	40	6
11	348	132	半兽勇士9	80	10	10
11	348	132	半兽统领	80	4	60
11	348	132	森林雪人	100	40	7
11	348	132	雪人王  	100	2	120
11	380	270	钉耙猫王	80	1	120
11	380	270	钉耙猫  	90	10	7
11	100	450	多钩猫  	90	10	7
11	100	450	多钩猫王	80	1	120
11	147	211	毒蜘蛛  	60	30	6
11	147	211	剧毒蜘蛛	60	3	30
11	147	211	天狼蜘蛛	60	10	30
11	321	266	毒蜘蛛  	80	40	7
11	321	266	剧毒蜘蛛	80	4	30
11	348	132	毒蜘蛛  	60	30	6
11	348	132	剧毒蜘蛛	60	3	30
11	45	380	食人花  	100	40	9
11	360	255	天狼蜘蛛	80	20	15
11	321	266	半兽勇士	80	3	60
11	147	211	半兽勇士	80	3	60
11	348	132	半兽勇士	80	3	60
;特殊
11	108	422	森林雪人0	50	3	15
11	321	266	半兽人0 	50	5	15
11	132	185	半兽战士0	50	5	30
11	380	270	钉耙猫0	        50	5	15
11	100	450	多钩猫0         50	5	15
11	360	255	天狼蜘蛛0	80	10	60

;特殊
11	200	200	鹰卫    	200	1	180

;白日门馆长屋	
1002	12	12	虎卫    	5	1	180

;丛林迷宫
12	100	60	天狼蜘蛛	100	20	8
12	100	60	暴牙蜘蛛	100	10	10
12	100	60	花吻蜘蛛	100	10	10
12	290	160	天狼蜘蛛	100	10	8
12	290	160	暴牙蜘蛛	100	10	10
12	290	160	花吻蜘蛛	100	10	10
12	50	300	天狼蜘蛛	100	10	8
12	50	300	暴牙蜘蛛	100	10	10
12	50	300	花吻蜘蛛	100	10	10
12	80	220	天狼蜘蛛	100	10	8
12	80	220	暴牙蜘蛛	100	10	10
12	80	220	花吻蜘蛛	100	10	10
12	160	210	天狼蜘蛛	100	10	8
12	160	210	暴牙蜘蛛	100	10	10
12	160	210	花吻蜘蛛	100	10	10
12	190	330	天狼蜘蛛	100	10	8
12	190	330	暴牙蜘蛛	100	10	10
12	190	330	花吻蜘蛛	100	10	10
12	288	328	剧毒蜘蛛	100	10	6
12	288	328	天狼蜘蛛	100	10	8
12	288	328	暴牙蜘蛛	100	10	10
12	288	328	花吻蜘蛛	100	10	10
12	190	330	剧毒蜘蛛	250	20	6
12	290	160	天狼蜘蛛0	50	20	30
12	100	60	暴牙蜘蛛0	50	20	30
12	50	300	花吻蜘蛛0	50	10	30
12	290	160	天狼蜘蛛8	50	10	60
12	50	300	花吻蜘蛛8	50	5	60
;特殊
12	50	300	鹰卫	        150	1	180

;毒蛇山谷
2	250	250	红蛇	        220	20	6
2	320	130	红蛇    	100	25	6
2	250	250	食人花  	200	20	6
2	100	250	毒蜘蛛  	60	20	6
2	350	100	毒蜘蛛  	50	20	6
2	260	200	多钩猫  	60	20	6
2	260	200	红蛇    	60	20	6
2	260	170	钉耙猫  	60	20	6
2	260	170	红蛇    	60	20	6
2	420	80	毒蜘蛛  	50	20	7
2	448	362	虎蛇    	60	20	6
2	400	180	虎蛇    	120	20	6
2	250	280	虎蛇    	120	20	5
2	250	250	红蛇    	220	20	5	50
2	140	250	红蛇    	80	20	5
2	300	330	半兽人  	100	20	6
2	400	130	半兽人  	100	25	6
2	300	400	多钩猫  	200	20	6
2	300	400	钉耙猫  	200	20	6
;特殊
2	300	400	红蛇0   	200	3	10
2	300	400	多钩猫0 	200	3	10
2	300	400	钉耙猫0 	200	3	10
2	300	400	虎蛇0   	200	3	10
2	300	400	半兽人0 	200	3	10

;盟重土城
3	380	410	羊      	60	20	6
3	380	290	羊      	60	20	6
3	160	250	猎鹰    	80	10	7
3	500	125	猎鹰    	40	10	7
3	150	230	盔甲虫  	100	20	7
3	100	390	沙虫    	50	20	7
3	320	150	盔甲虫   	100	20	7
3	320	150	沙虫    	30	20	7
3	416	200	盔甲虫  	70	20	7
3	583	130	盔甲虫  	70	20	7
3	500	140	多角虫  	60	20	7
3	666	115	多角虫  	60	20	7
3	500	140	巨型多角虫	500	10	30
3	790	100	狼      	50	10	6
3	880	70	狼      	50	10	6
3	880	370	狼      	100	20	6
3	666	660	多角虫   	100	20	7
3	710	500	盔甲虫  	120	20	7
3	710	625	威思而小虫	50	10	7
3	130	590	狼      	100	20	6
3	333	560	狼      	120	20	6
3	450	560	狼      	120	20	6
3	333	560	虎蛇    	150	20	6
;特殊
3	500	140	猎鹰0    	500	5	10
3	500	140	盔甲虫0	        500	5	10
3	500	140	多角虫0 	500	5	10
3	500	140	虎蛇0   	500	5	10

;废矿入口
D401	100	100	僵尸2	        100	75	10
D401	100	100	僵尸3           100	75	10
D401	100	100	洞蛆            100	45	10
D401	100	100	僵尸20          100	1	80
D401	100	100	僵尸30          100 	1	80
;废矿区东部
D402	100	100	僵尸2           100	75	8
D402	100	100	僵尸3   	100	75	8
D402	100	100	洞蛆    	100	45	8
D402	100	100	僵尸20  	100	1	80
D402	100	100	僵尸30  	100	1	80
;矿区一层
D403	100	100	僵尸2   	100	75	8
D403	100	100	僵尸3   	100	75	8
D403	100	100	僵尸5   	100	45	8
D403	100	100	僵尸20  	100	1	100
D403	100	100	僵尸30  	100	1	100
D403	100	100	僵尸50  	100	1	100
;矿区B二层
D404	100	100	僵尸1   	100	30	8
D404	100	100	尸王    	100	1	120
D404	100	100	尸王2   	100	1	180
D404	100	100	僵尸10  	100	1	100
D404	100	100	僵尸30  	100	1	100
D404	100	100	僵尸40  	100	1	100
;矿物回收站
D405	100	100	僵尸1   	100	15	8
D405	100	100	尸王    	100	1	120
D405	100	100	尸王2   	100	1	180
D405	100	100	僵尸10  	100	1	100
;废矿区南部
D406	100	100	僵尸4   	100	75	8
D406	100	100	僵尸1   	100	30	8
D406	100	100	僵尸5   	100	45	8
D406	100	100	僵尸2   	100	30	8
D406	100	100	尸王    	100	1	120
D406	100	100	尸王2   	100	1	180
D406	100	100	僵尸40  	100	1	100
D406	100	100	僵尸10  	100	1	100
D406	100	100	僵尸50  	100	1	100
D406	100	100	僵尸20  	100	1	100
;矿区A一层
D411    50      50      僵尸2           50      40      9
D411    50      50      僵尸20          50      1       60
;桥
D413    50      50      僵尸3           50      40      9
D413    50      50      僵尸30          50      1       60
;桥
D412    50      50      僵尸4           50      40      9
D412    50      50      僵尸40          50      1       60
;桥
D416	50	50	僵尸5	        50	40	9
D416	50	50	僵尸50   	50	1	60
;桥
D415	50	50	僵尸5   	50	40	9
D415	50	50	僵尸50   	50	1	60
;尸王殿
Q004	15	15	尸王2   	5	28	60
Q004	15	15	尸王    	5	2	60


;沃玛寺庙入口
D021	50	44	山洞蝙蝠	60	40	20
D021	50	44	山洞蝙蝠	60	10	20	100
D021	50	44	山洞蝙蝠	60	10	20	100
D021	50	44	山洞蝙蝠	60	10	20	100
D021	50	44	山洞蝙蝠	60	10	20	100
D021	50	44	山洞蝙蝠	60	10	20	100
D021	50	44	山洞蝙蝠	60	10	20	100
D021	50	44	山洞蝙蝠	60	10	20	100
D021	50	44	山洞蝙蝠	60	10	20	100
D021	50	44	洞蛆    	60	30	20
D021	50	44	山洞蝙蝠0	60	2	10
;沃玛寺庙一层
D022	250	250	粪虫    	250	120	9
D022	250	250	沃玛战士	250	140	9
D022	250	250	沃玛勇士	250	90	9
D022	250	250	沃玛战将	250	90	9
D022	250	250	火焰沃玛	250	60	9
D022	200	200	沃玛卫士	200	2	120
D022	250	250	山洞蝙蝠	250	10	9	100
D022	250	250	山洞蝙蝠	250	10	9	100
D022	250	250	山洞蝙蝠	250	10	9	100
D022	250	250	山洞蝙蝠	250	10	9	100
D022	250	250	山洞蝙蝠	250	10	9	100
D022	250	250	山洞蝙蝠	250	10	9	100
D022	250	250	山洞蝙蝠	250	10	9	100
D022	250	250	山洞蝙蝠	250	10	9	100
;特殊
D022	250	250	沃玛战士0	250	2	10
D022	250	250	沃玛勇士0	250	2	10
D022	250	250	沃玛战将0	250	2	10	
D022	250	250	火焰沃玛0	250	2	10
D022	250	250	山洞蝙蝠0	250	2	10
D022	250	250	山洞蝙蝠0	250	2	10
;沃玛寺庙二层
D023	200	200	暗黑战士	200	100	9
D023	200	200	粪虫    	200	60	9
D023	200	200	沃玛战士	200	80	9
D023	200	200	沃玛勇士	200	120	9
D023	200	200	沃玛战将	200	120	9
D023	200	200	火焰沃玛	200	80	9
D023	200	200	沃玛卫士	200	2	60
D023	200	200	山洞蝙蝠	200	20	9	100
D023	200	200	山洞蝙蝠	200	20	9	100
D023	200	200	山洞蝙蝠	200	20	9	100
D023	200	200	山洞蝙蝠	200	30	9
;特殊
D023	200	200	暗黑战士0	200	2	10
D023	200	200	沃玛战士0	200	2	10
D023	200	200	沃玛勇士0	200	2	10
D023	200	200	沃玛战将0	200	2	10
D023	200	200	火焰沃玛0	200	2	10
D023	200	200	山洞蝙蝠0	200	2	10

;沃玛教主大殿
D024	40	40	沃玛勇士	20	6	5	50
D024	40	40	沃玛战将	20	6	5	50
D024	40	40	火焰沃玛	20	6	5	50
D024	50	50	暗黑战士	20	5	5	50
D024	60	60	沃玛勇士	20	3	5	50
D024	50	40	沃玛战将	20	3	5
D024	50	40	火焰沃玛	20	3	5
D024	50	40	暗黑战士	20	5	5
D024	60	50	暗黑战士	20	5	5
D024	50	60	沃玛勇士	20	3	5
D024	50	60	沃玛战将	20	3	5
D024	20	21	沃玛勇士	7	5	5
D024	20	21	沃玛战将	7	5	5
D024	20	21	火焰沃玛	7	5	5
D024	20	21	暗黑战士	7	8	5
;特殊
D024	42	49	暗黑战士0	30	2	10
D024	42	49	沃玛勇士0	30	2	15
D024	42	49	沃玛战将0	30	2	15
D024	42	49	火焰沃玛0	30	2	15
D024	50	50	沃玛卫士	30	2	60
D024	50	50	沃玛教主	1	1	240

;祖玛寺庙一层
D501	200	200	楔蛾    	100	20	8
D501	100	300	楔蛾    	100	20	8
D501	300	100	楔蛾    	100	20	8
D501	100	100	楔蛾    	100	20	8
D501	300	300	楔蛾    	100	20	8
D501	200	200	角蝇    	100	3	8
D501	100	300	角蝇     	100	3	8
D501	300	100	角蝇    	100	3	8
D501	100	100	角蝇    	100	3	8
D501	300	300	角蝇    	100	3	8
D501	200	200	大老鼠  	100	20	8
D501	100	660	大老鼠  	100	20	8
D501	660	100	大老鼠  	100	20	8
D501	100	100	大老鼠  	100	20	8
D501	660	660	大老鼠  	100	20	8
;特殊
D501	200	200	大老鼠0 	200	6	10
;祖玛寺庙二层
D502	200	200	大老鼠  	100	30	8
D502	100	300	大老鼠  	100	30	8
D502	300	100	大老鼠  	100	30	8
D502	100	100	大老鼠  	100	30	8
D502	300	300	大老鼠  	100	30	8
D502	200	200	角蝇    	100	3	8
D502	100	300	角蝇    	100	3	8
D502	300	100	角蝇    	100	3	8
D502	100	100	角蝇    	100	3	8
D502	300	300	角蝇    	100	3	8
D502	200	200	楔蛾    	100	30	8
D502	100	300	楔蛾    	100	30	8
D502	300	100	楔蛾    	100	30	8
D502	100	100	楔蛾    	100	30	8
D502	300	300	楔蛾    	100	30	8
;特殊
D502	200	200	大老鼠0  	200	6	10
;祖玛寺庙三层
D503	200	200	角蝇    	100	3	8
D503	100	300	角蝇    	100	3	8
D503	300	100	角蝇    	100	3	8
D503	100	100	角蝇    	100	3	8
D503	300	300	角蝇    	100	3	8
D503	200	200	祖玛弓箭手	100	16	8
D503	100	300	祖玛弓箭手	100	16	8
D503	300	100	祖玛弓箭手	100	16	8
D503	100	100	祖玛弓箭手	100	16	8
D503	300	300	祖玛弓箭手	100	16	8
D503	200	200	祖玛雕像	100	16	8
D503	100	300	祖玛雕像	100	16	8
D503	300	100	祖玛雕像	100	16	8
D503	100	100	祖玛雕像	100	16	8
D503	300	300	祖玛雕像	100	16	8
D503	200	200	祖玛卫士	100	16	8
D503	100	300	祖玛卫士	100	16	8
D503	300	100	祖玛卫士	100	16	8
D503	100	100	祖玛卫士	100	16	8
D503	300	300	祖玛卫士	100	16	8
D503	200	200	楔蛾    	100	16	8
D503	100	300	楔蛾    	100	16	8
D503	300	100	楔蛾    	100	16	8
D503	100	100	楔蛾     	100	16	8
D503	300	300	楔蛾    	100	16	8
D503	200	200	大老鼠   	200	80	10
;特殊
D503	200	200	祖玛弓箭手0	200	2	15
D503	200	200	祖玛卫士0	200	2	15
