;Idx,Name,Stdmode,Shape,MagUpID,ItemType,Weight,Anicount,Source,Reserved,Looks,IconEffect,InLooks,InLooksType,InLooksNum,DropLight,DropLightAni,DropSound,DuraMax,Ac,Ac2,Mac,Mac2,Dc,Dc2,Mc,Mc2,Sc,Sc2,Need,NeedLevel,Price,Stock,Shine,Job,NameColor,Smite,DamAdd,DcRedu,McRedu,IgnDef,DamReb,ExpAdd,DropRate,RareAttr,GodAttr,UserAttr,Desc,Effect,EffParam,TipEffect,TimeLimit
;序号,,,,是否鉴定|技能强化ID+几率(2#80),"物品类型0非药品1红药,2蓝药3太阳水4红药包5蓝药包6大补药包",,,,,,动态图标,动态内观图起始图编号,动态内观类型,动态内观图数量0不使用,起始编号,贞数量,掉落声音,,最小防御（幸运）,最大防御（准确）,最小魔御（诅咒）,最大魔御（攻速）,最小攻击,最大攻击,最小魔法,最大魔法,最小道术,最大道术,,,,库存,,,颜色,暴击,增加伤害（0-15）,物理伤害减少,魔法伤害减少,忽视目标防御,伤害反射,经验吸收,PK目标爆率,"稀有属性，是否需要坚定0需要1不需要|属性id#获得概率(百分比)#最低点数#最高点数#点数概率(每点的百分比概率,失败就停止)|属性id#获得概率(百分比)#最低点数#最高点数#点数概率(每点的百分比概率,失败就停止)",神器属性(填写方式参考稀有属性),自定义属性(填写方式参考稀有属性),描述:最大100个字符,,,,装备限时(1过期时间戳2有效时间)#时间秒
0,滴滴引擎,41,0,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,255,0,0,0,0,0,0,0,0,,0,0,<游戏货币/FCOLOR=58>,,,,0
1,金创药(小量),0,0,,,0,1,5,0,1077,0,0,0,0,,,new-yaoshui.ogg,9999,50,0,0,0,0,0,0,0,0,0,0,0,100,200,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复生命值/FCOLOR=251>\\<[缓回]/FCOLOR=254>,,,,0
2,魔法药(小量),0,0,,,0,1,5,0,1080,0,0,0,0,,,new-yaoshui.ogg,9999,0,0,100,0,0,0,0,0,0,0,0,0,100,200,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复魔法值/FCOLOR=251>\\<[缓回]/FCOLOR=254>,,,,0
3,金创药(中量),0,0,,,0,1,5,0,1078,0,0,0,0,,,new-yaoshui.ogg,9999,100,0,0,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复生命值/FCOLOR=251>\\<[缓回]/FCOLOR=254>,,,,0
4,魔法药(中量),0,0,,,0,1,5,0,1081,0,0,0,0,,,new-yaoshui.ogg,9999,0,0,200,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复魔法值/FCOLOR=251>\\<[缓回]/FCOLOR=254>,,,,0
5,强效金创药,0,0,,,0,1,5,0,1079,0,0,0,0,,,new-yaoshui.ogg,9999,200,0,0,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复生命值/FCOLOR=251>\\<[缓回]/FCOLOR=254>,,,,0
6,强效魔法药,0,0,,,0,1,5,0,1082,0,0,0,0,,,new-yaoshui.ogg,9999,0,0,400,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复魔法值/FCOLOR=251>\\<[缓回]/FCOLOR=254>,,,,0
7,太阳水,0,1,,,0,1,5,0,1083,0,0,0,0,,,new-yaoshui.ogg,9999,300,0,600,0,0,0,0,0,0,0,0,35,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复生命值和魔法值/FCOLOR=251>\\<[瞬回]/FCOLOR=254>,,,,0
8,强效太阳水,0,1,,,0,1,5,0,1084,0,0,0,0,,,new-yaoshui.ogg,9999,500,0,1000,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复生命值和魔法值/FCOLOR=251>\\<[瞬回]/FCOLOR=254>,,,,0
